W,cos th,t,dsigdcosth (mu barn),dsigdcosth error (mu barn),dsigdt (mu barn/GeV^2),dsigdt error (mu barn/GeV^2),source
1.935,-0.15,-0.814855465,2.344,0.05,3.592029528,0.07662179,CLAS omega
1.935,-0.05,-0.749599877,2.297,0.052,3.520005046,0.079686662,CLAS omega
1.935,0.05,-0.684344289,2.242,0.057,3.435721076,0.087348841,CLAS omega
1.935,0.15,-0.619088701,2.069,0.058,3.170609682,0.088881277,CLAS omega
1.935,0.25,-0.553833112,2.02,0.061,3.095520327,0.093478584,CLAS omega
1.935,0.35,-0.488577524,1.874,0.061,2.8717847,0.093478584,CLAS omega
1.935,0.45,-0.423321936,2.121,0.069,3.250296344,0.105738071,CLAS omega
1.935,0.55,-0.358066347,2.586,0.085,3.962878993,0.130257043,CLAS omega
1.935,0.65,-0.292810759,3.312,0.098,5.075427388,0.150178709,CLAS omega
1.935,0.75,-0.227555171,4.349,0.119,6.664563319,0.182359861,CLAS omega
1.945,-0.75,-1.241647858,1.947,0.055,2.888160161,0.081586445,CLAS omega
1.945,-0.65,-1.174234699,1.944,0.052,2.883709992,0.077136275,CLAS omega
1.945,-0.55,-1.10682154,2.092,0.049,3.103251699,0.072686106,CLAS omega
1.945,-0.45,-1.039408381,2.135,0.045,3.167037465,0.066752546,CLAS omega
1.945,-0.35,-0.971995222,2.373,0.05,3.520084264,0.074169496,CLAS omega
1.945,-0.25,-0.904582064,2.407,0.049,3.570519521,0.072686106,CLAS omega
1.945,-0.15,-0.837168905,2.38,0.053,3.530467994,0.078619665,CLAS omega
1.945,-0.05,-0.769755746,2.332,0.055,3.459265278,0.081586445,CLAS omega
1.945,0.05,-0.702342587,2.163,0.057,3.208572383,0.084553225,CLAS omega
1.945,0.15,-0.634929428,2.168,0.061,3.215989332,0.090486785,CLAS omega
1.945,0.25,-0.567516269,1.984,0.061,2.943045588,0.090486785,CLAS omega
1.945,0.35,-0.50010311,2.088,0.069,3.097318139,0.102353904,CLAS omega
1.945,0.45,-0.432689951,2.052,0.069,3.043916102,0.102353904,CLAS omega
1.945,0.55,-0.365276792,2.681,0.087,3.976968358,0.129054922,CLAS omega
1.945,0.65,-0.297863633,3.497,0.096,5.187414527,0.142405432,CLAS omega
1.945,0.75,-0.230450474,4.88,0.123,7.238942777,0.182456959,CLAS omega
1.965,-0.84,-1.376940157,1.513,0.108,2.109683569,0.150592086,CLAS omega
1.965,-0.75,-1.312394932,1.706,0.047,2.378797203,0.065535445,CLAS omega
1.965,-0.65,-1.240678016,1.75,0.046,2.440149534,0.064141073,CLAS omega
1.965,-0.55,-1.1689611,1.868,0.044,2.604685332,0.061352331,CLAS omega
1.965,-0.45,-1.097244183,1.966,0.043,2.741333706,0.05995796,CLAS omega
1.965,-0.35,-1.025527267,2.176,0.045,3.03415165,0.062746702,CLAS omega
1.965,-0.25,-0.953810351,2.228,0.046,3.10665895,0.064141073,CLAS omega
1.965,-0.15,-0.882093434,2.266,0.049,3.159645054,0.068324187,CLAS omega
1.965,-0.05,-0.810376518,2.322,0.054,3.237729839,0.075296043,CLAS omega
1.965,0.05,-0.738659602,2.111,0.054,2.943517524,0.075296043,CLAS omega
1.965,0.15,-0.666942685,2.032,0.057,2.833362202,0.079479156,CLAS omega
1.965,0.25,-0.595225769,1.858,0.057,2.59074162,0.079479156,CLAS omega
1.965,0.35,-0.523508853,1.878,0.061,2.618629043,0.085056641,CLAS omega
1.965,0.45,-0.451791936,2.145,0.07,2.990926144,0.097605981,CLAS omega
1.965,0.55,-0.38007502,2.576,0.077,3.591900115,0.10736658,CLAS omega
1.965,0.65,-0.308358104,3.689,0.09,5.143835219,0.125493405,CLAS omega
1.965,0.75,-0.236641187,5.894,0.125,8.218423632,0.174296395,CLAS omega
1.965,0.84,-0.172095963,8.975,0.375,12.51448118,0.522889186,CLAS omega
1.975,-0.84,-1.414379215,1.526,0.097,2.065919294,0.131319903,CLAS omega
1.975,-0.75,-1.347900336,1.573,0.045,2.129548526,0.060921604,CLAS omega
1.975,-0.65,-1.274034914,1.638,0.043,2.217546399,0.058213977,CLAS omega
1.975,-0.55,-1.200169492,1.809,0.043,2.449048495,0.058213977,CLAS omega
1.975,-0.45,-1.12630407,1.807,0.04,2.446340868,0.054152537,CLAS omega
1.975,-0.35,-1.052438648,2.018,0.041,2.731995502,0.055506351,CLAS omega
1.975,-0.25,-0.978573227,2.06,0.043,2.788855666,0.058213977,CLAS omega
1.975,-0.15,-0.904707805,2.024,0.044,2.740118383,0.059567791,CLAS omega
1.975,-0.05,-0.830842383,2.192,0.05,2.967559039,0.067690672,CLAS omega
1.975,0.05,-0.756976961,1.982,0.051,2.683258219,0.069044485,CLAS omega
1.975,0.15,-0.68311154,1.937,0.053,2.622336614,0.071752112,CLAS omega
1.975,0.25,-0.609246118,1.699,0.052,2.300129018,0.070398298,CLAS omega
1.975,0.35,-0.535380696,1.724,0.055,2.333974354,0.074459739,CLAS omega
1.975,0.45,-0.461515274,1.897,0.062,2.568184077,0.083936433,CLAS omega
1.975,0.55,-0.387649853,2.571,0.073,3.480654329,0.09882838,CLAS omega
1.975,0.65,-0.313784431,3.501,0.085,4.739700819,0.115074142,CLAS omega
1.975,0.75,-0.239919009,5.396,0.114,7.305177269,0.154334731,CLAS omega
1.975,0.84,-0.17344013,8.299,0.295,11.23529766,0.399374962,CLAS omega
1.985,-0.84,-1.45191522,1.539,0.084,2.024653403,0.110507398,CLAS omega
1.985,-0.75,-1.383503511,1.647,0.046,2.166734344,0.060515956,CLAS omega
1.985,-0.65,-1.307490501,1.64,0.043,2.157525394,0.056569263,CLAS omega
1.985,-0.55,-1.23147749,1.734,0.041,2.281188435,0.053938135,CLAS omega
1.985,-0.45,-1.15546448,1.929,0.042,2.537723466,0.055253699,CLAS omega
1.985,-0.35,-1.07945147,2.019,0.042,2.65612425,0.055253699,CLAS omega
1.985,-0.25,-1.003438459,2.183,0.045,2.87187679,0.059200392,CLAS omega
1.985,-0.15,-0.927425449,2.195,0.046,2.887663561,0.060515956,CLAS omega
1.985,-0.05,-0.851412439,2.2,0.05,2.894241382,0.065778213,CLAS omega
1.985,0.05,-0.775399429,2.067,0.052,2.719271335,0.068409342,CLAS omega
1.985,0.15,-0.699386418,1.928,0.052,2.536407902,0.068409342,CLAS omega
1.985,0.25,-0.623373408,1.78,0.054,2.341704391,0.07104047,CLAS omega
1.985,0.35,-0.547360398,1.817,0.057,2.390380269,0.074987163,CLAS omega
1.985,0.45,-0.471347387,2.014,0.065,2.649546429,0.085511677,CLAS omega
1.985,0.55,-0.395334377,2.556,0.071,3.36258226,0.093405063,CLAS omega
1.985,0.65,-0.319321367,3.676,0.084,4.836014237,0.110507398,CLAS omega
1.985,0.75,-0.243308356,5.898,0.119,7.759198033,0.156552147,CLAS omega
1.985,0.84,-0.174896647,9.566,0.333,12.58468776,0.4380829,CLAS omega
1.995,-0.84,-1.489555349,1.564,0.08,2.001009527,0.102353428,CLAS omega
1.995,-0.75,-1.419210857,1.517,0.044,1.940876888,0.056294386,CLAS omega
1.995,-0.65,-1.341050309,1.61,0.041,2.059862748,0.052456132,CLAS omega
1.995,-0.55,-1.262889762,1.764,0.042,2.256893098,0.05373555,CLAS omega
1.995,-0.45,-1.184729215,1.78,0.038,2.277363784,0.048617879,CLAS omega
1.995,-0.35,-1.106568667,1.993,0.041,2.549879787,0.052456132,CLAS omega
1.995,-0.25,-1.02840812,2.098,0.043,2.684218662,0.055014968,CLAS omega
1.995,-0.15,-0.950247572,2.217,0.047,2.836469387,0.060132639,CLAS omega
1.995,-0.05,-0.872087025,2.006,0.045,2.566512219,0.057573804,CLAS omega
1.995,0.05,-0.793926477,2.028,0.049,2.594659412,0.062691475,CLAS omega
1.995,0.15,-0.71576593,1.873,0.05,2.396349645,0.063970893,CLAS omega
1.995,0.25,-0.637605383,1.724,0.052,2.205716384,0.066529729,CLAS omega
1.995,0.35,-0.559444835,1.742,0.057,2.228745905,0.072926818,CLAS omega
1.995,0.45,-0.481284288,1.903,0.061,2.43473218,0.078044489,CLAS omega
1.995,0.55,-0.40312374,2.555,0.07,3.268912622,0.08955925,CLAS omega
1.995,0.65,-0.324963193,3.772,0.084,4.825964153,0.1074711,CLAS omega
1.995,0.75,-0.246802646,5.887,0.117,7.531932919,0.149691889,CLAS omega
1.995,0.84,-0.176458153,8.769,0.239,11.21921518,0.305780868,CLAS omega
2.005,-0.84,-1.527306029,1.379,0.075,1.717121718,0.093389506,CLAS omega
2.005,-0.75,-1.455028101,1.44,0.041,1.793078516,0.05105293,CLAS omega
2.005,-0.65,-1.374719292,1.546,0.042,1.925069018,0.052298123,CLAS omega
2.005,-0.55,-1.294410483,1.743,0.042,2.17037212,0.052298123,CLAS omega
2.005,-0.45,-1.214101674,1.739,0.038,2.165391347,0.04731735,CLAS omega
2.005,-0.35,-1.133792865,1.93,0.04,2.403223289,0.049807737,CLAS omega
2.005,-0.25,-1.053484056,1.997,0.041,2.486651248,0.05105293,CLAS omega
2.005,-0.15,-0.973175247,2.064,0.044,2.570079206,0.05478851,CLAS omega
2.005,-0.05,-0.892866438,1.965,0.043,2.446805058,0.053543317,CLAS omega
2.005,0.05,-0.81255763,1.956,0.048,2.435598318,0.059769284,CLAS omega
2.005,0.15,-0.732248821,1.705,0.046,2.123054771,0.057278897,CLAS omega
2.005,0.25,-0.651940012,1.632,0.049,2.032155652,0.061014477,CLAS omega
2.005,0.35,-0.571631203,1.597,0.051,1.988573882,0.063504864,CLAS omega
2.005,0.45,-0.491322394,1.949,0.061,2.426881964,0.075956798,CLAS omega
2.005,0.55,-0.411013585,2.57,0.067,3.200147074,0.083427959,CLAS omega
2.005,0.65,-0.330704776,3.843,0.082,4.78527829,0.10210586,CLAS omega
2.005,0.75,-0.250395967,6.392,0.12,7.959276302,0.14942321,CLAS omega
2.005,0.84,-0.178118039,9.214,0.219,11.47321212,0.272697358,CLAS omega
2.015,-0.84,-1.565173034,1.356,0.063,1.644463719,0.076402075,CLAS omega
2.015,-0.75,-1.490960391,1.458,0.04,1.768162318,0.048509254,CLAS omega
2.015,-0.65,-1.408501898,1.522,0.04,1.845777125,0.048509254,CLAS omega
2.015,-0.55,-1.326043405,1.61,0.039,1.952497484,0.047296523,CLAS omega
2.015,-0.45,-1.243584912,1.714,0.037,2.078621545,0.04487106,CLAS omega
2.015,-0.35,-1.161126419,1.921,0.038,2.329656936,0.046083792,CLAS omega
2.015,-0.25,-1.078667926,1.947,0.039,2.361187951,0.047296523,CLAS omega
2.015,-0.15,-0.996209433,2.065,0.042,2.504290251,0.050934717,CLAS omega
2.015,-0.05,-0.91375094,1.971,0.043,2.390293504,0.052147448,CLAS omega
2.015,0.05,-0.831292447,1.807,0.043,2.191405561,0.052147448,CLAS omega
2.015,0.15,-0.748833954,1.731,0.046,2.099237978,0.055785642,CLAS omega
2.015,0.25,-0.666375461,1.593,0.047,1.931881051,0.056998374,CLAS omega
2.015,0.35,-0.583916968,1.616,0.05,1.959773872,0.060636568,CLAS omega
2.015,0.45,-0.501458476,1.969,0.06,2.387868041,0.072763881,CLAS omega
2.015,0.55,-0.418999983,2.596,0.065,3.148250602,0.078827538,CLAS omega
2.015,0.65,-0.33654149,3.857,0.081,4.677504842,0.09823124,CLAS omega
2.015,0.75,-0.254082997,5.826,0.102,7.065372883,0.123698598,CLAS omega
2.015,0.85,-0.171624504,10.58,0.97,12.83069775,1.176349416,CLAS omega
2.025,-0.84,-1.60316157,1.406,0.063,1.661737609,0.074459082,CLAS omega
2.025,-0.75,-1.527012364,1.422,0.039,1.680647852,0.046093717,CLAS omega
2.025,-0.65,-1.442402134,1.549,0.039,1.830747906,0.046093717,CLAS omega
2.025,-0.55,-1.357791905,1.62,0.038,1.914662109,0.044911827,CLAS omega
2.025,-0.45,-1.273181676,1.633,0.035,1.930026682,0.041366157,CLAS omega
2.025,-0.35,-1.188571447,1.842,0.037,2.177041732,0.043729937,CLAS omega
2.025,-0.25,-1.103961217,1.911,0.038,2.258592155,0.044911827,CLAS omega
2.025,-0.15,-1.019350988,1.929,0.038,2.279866179,0.044911827,CLAS omega
2.025,-0.05,-0.934740759,1.986,0.043,2.347233919,0.050821278,CLAS omega
2.025,0.05,-0.85013053,1.854,0.044,2.191224414,0.052003168,CLAS omega
2.025,0.15,-0.7655203,1.83,0.047,2.16285905,0.055548839,CLAS omega
2.025,0.25,-0.680910071,1.549,0.045,1.830747906,0.053185059,CLAS omega
2.025,0.35,-0.596299842,1.529,0.047,1.807110102,0.055548839,CLAS omega
2.025,0.45,-0.511689613,1.925,0.056,2.275138618,0.066185851,CLAS omega
2.025,0.55,-0.427079383,2.59,0.063,3.061095595,0.074459082,CLAS omega
2.025,0.65,-0.342469154,3.921,0.079,4.634191439,0.093369325,CLAS omega
2.025,0.75,-0.257858925,5.969,0.1,7.05470255,0.118189019,CLAS omega
2.025,0.85,-0.173248696,17.74,3.762,20.96673199,4.446270899,CLAS omega
2.035,-0.84,-1.641276341,1.334,0.058,1.537493614,0.066847548,CLAS omega
2.035,-0.75,-1.563188211,1.442,0.039,1.66196836,0.044949214,CLAS omega
2.035,-0.65,-1.476423623,1.546,0.039,1.781832929,0.044949214,CLAS omega
2.035,-0.55,-1.389659035,1.605,0.039,1.849833022,0.044949214,CLAS omega
2.035,-0.45,-1.302894447,1.756,0.037,2.023867156,0.042644126,CLAS omega
2.035,-0.35,-1.216129859,1.835,0.037,2.114918128,0.042644126,CLAS omega
2.035,-0.25,-1.129365271,1.893,0.038,2.181765676,0.04379667,CLAS omega
2.035,-0.15,-1.042600683,1.966,0.039,2.265901384,0.044949214,CLAS omega
2.035,-0.05,-0.955836095,1.948,0.042,2.245155593,0.048406845,CLAS omega
2.035,0.05,-0.869071507,1.871,0.044,2.156409709,0.050711933,CLAS omega
2.035,0.15,-0.782306919,1.701,0.045,1.96047724,0.051864477,CLAS omega
2.035,0.25,-0.695542331,1.526,0.045,1.75878205,0.051864477,CLAS omega
2.035,0.35,-0.608777743,1.598,0.049,1.841765214,0.056474653,CLAS omega
2.035,0.45,-0.522013155,1.969,0.057,2.269359015,0.065695005,CLAS omega
2.035,0.55,-0.435248567,2.719,0.064,3.133766969,0.073762812,CLAS omega
2.035,0.65,-0.348483979,4.096,0.079,4.720819973,0.091050971,CLAS omega
2.035,0.75,-0.261719391,6.769,0.107,7.801569921,0.123322201,CLAS omega
2.035,0.85,-0.174954803,10.58,0.6,12.19391487,0.691526363,CLAS omega
2.045,-0.84,-1.679521611,1.369,0.057,1.539550016,0.06410106,CLAS omega
2.045,-0.75,-1.599491733,1.462,0.04,1.644135955,0.0449832,CLAS omega
2.045,-0.65,-1.510569647,1.49,0.038,1.675624195,0.04273404,CLAS omega
2.045,-0.55,-1.42164756,1.475,0.034,1.658755495,0.03823572,CLAS omega
2.045,-0.45,-1.332725473,1.63,0.034,1.833065395,0.03823572,CLAS omega
2.045,-0.35,-1.243803386,1.813,0.036,2.038863534,0.04048488,CLAS omega
2.045,-0.25,-1.1548813,1.925,0.037,2.164816494,0.04160946,CLAS omega
2.045,-0.15,-1.065959213,1.981,0.039,2.227792974,0.04385862,CLAS omega
2.045,-0.05,-0.977037126,1.883,0.039,2.117584134,0.04385862,CLAS omega
2.045,0.05,-0.888115039,1.889,0.044,2.124331614,0.04948152,CLAS omega
2.045,0.15,-0.799192953,1.717,0.044,1.930903855,0.04948152,CLAS omega
2.045,0.25,-0.710270866,1.482,0.044,1.666627555,0.04948152,CLAS omega
2.045,0.35,-0.621348779,1.532,0.046,1.722856555,0.05173068,CLAS omega
2.045,0.45,-0.532426693,1.935,0.055,2.176062294,0.0618519,CLAS omega
2.045,0.55,-0.443504606,2.717,0.062,3.055483851,0.06972396,CLAS omega
2.045,0.65,-0.354582519,3.967,0.073,4.461208847,0.08209434,CLAS omega
2.045,0.75,-0.265660432,6.858,0.099,7.712369618,0.11133342,CLAS omega
2.045,0.85,-0.176738346,12.03,0.943,13.52869736,1.060478937,CLAS omega
2.055,-0.84,-1.717901258,1.361,0.055,1.494238296,0.060384354,CLAS omega
2.055,-0.75,-1.635926381,1.391,0.037,1.527175216,0.040622202,CLAS omega
2.055,-0.65,-1.544843185,1.375,0.034,1.509608858,0.03732851,CLAS omega
2.055,-0.55,-1.453759989,1.508,0.035,1.655629206,0.038426407,CLAS omega
2.055,-0.45,-1.362676792,1.574,0.032,1.728090431,0.035132715,CLAS omega
2.055,-0.35,-1.271593596,1.825,0.036,2.003662667,0.039524305,CLAS omega
2.055,-0.25,-1.1805104,1.915,0.036,2.102473428,0.039524305,CLAS omega
2.055,-0.15,-1.089427203,1.871,0.037,2.054165945,0.040622202,CLAS omega
2.055,-0.05,-0.998344007,1.906,0.04,2.092592352,0.043915894,CLAS omega
2.055,0.05,-0.907260811,1.769,0.041,1.942180415,0.045013791,CLAS omega
2.055,0.15,-0.816177614,1.647,0.042,1.808236938,0.046111689,CLAS omega
2.055,0.25,-0.725094418,1.513,0.043,1.661118693,0.047209586,CLAS omega
2.055,0.35,-0.634011222,1.486,0.045,1.631475465,0.049405381,CLAS omega
2.055,0.45,-0.542928025,1.887,0.052,2.071732303,0.057090662,CLAS omega
2.055,0.55,-0.451844829,2.697,0.059,2.961029157,0.064775944,CLAS omega
2.055,0.65,-0.360761633,4.175,0.075,4.583721443,0.082342301,CLAS omega
2.055,0.75,-0.269678437,7.292,0.103,8.005867488,0.113083427,CLAS omega
2.055,0.85,-0.17859524,15.09,1.342,16.56727104,1.473378246,CLAS omega
2.065,-0.84,-1.75641881,1.331,0.055,1.427371157,0.058982279,CLAS omega
2.065,-0.75,-1.672495299,1.321,0.035,1.416647106,0.037534178,CLAS omega
2.065,-0.65,-1.579246952,1.34,0.033,1.437022803,0.035389368,CLAS omega
2.065,-0.55,-1.485998606,1.505,0.036,1.61396964,0.038606583,CLAS omega
2.065,-0.45,-1.39275026,1.546,0.032,1.657938249,0.034316962,CLAS omega
2.065,-0.35,-1.299501913,1.67,0.032,1.790916478,0.034316962,CLAS omega
2.065,-0.25,-1.206253567,1.949,0.038,2.090117495,0.040751393,CLAS omega
2.065,-0.15,-1.113005221,1.939,0.038,2.079393444,0.040751393,CLAS omega
2.065,-0.05,-1.019756874,1.809,0.036,1.939980784,0.038606583,CLAS omega
2.065,0.05,-0.926508528,1.837,0.041,1.970008126,0.043968608,CLAS omega
2.065,0.15,-0.833260182,1.647,0.041,1.766251161,0.043968608,CLAS omega
2.065,0.25,-0.740011835,1.451,0.04,1.556059766,0.042896203,CLAS omega
2.065,0.35,-0.646763489,1.563,0.046,1.676169135,0.049330634,CLAS omega
2.065,0.45,-0.553515143,1.93,0.052,2.069741798,0.055765064,CLAS omega
2.065,0.55,-0.460266796,2.543,0.056,2.72712611,0.060054684,CLAS omega
2.065,0.65,-0.36701845,4.404,0.076,4.722871958,0.081502786,CLAS omega
2.065,0.75,-0.273770104,7.396,0.096,7.931507947,0.102950887,CLAS omega
2.065,0.85,-0.180521757,12.46,0.654,13.36216726,0.70135292,CLAS omega
2.075,-0.84,-1.795077492,1.245,0.049,1.304786224,0.051353032,CLAS omega
2.075,-0.75,-1.709201355,1.316,0.034,1.379195719,0.035632716,CLAS omega
2.075,-0.65,-1.613783425,1.353,0.033,1.417972499,0.034584695,CLAS omega
2.075,-0.55,-1.518365496,1.432,0.034,1.500766163,0.035632716,CLAS omega
2.075,-0.45,-1.422947566,1.538,0.031,1.611856395,0.032488653,CLAS omega
2.075,-0.35,-1.327529637,1.661,0.032,1.740762986,0.033536674,CLAS omega
2.075,-0.25,-1.232111707,1.802,0.034,1.888533956,0.035632716,CLAS omega
2.075,-0.15,-1.136693778,1.816,0.035,1.903206251,0.036680737,CLAS omega
2.075,-0.05,-1.041275848,1.738,0.034,1.821460608,0.035632716,CLAS omega
2.075,0.05,-0.945857918,1.829,0.04,1.916830525,0.041920843,CLAS omega
2.075,0.15,-0.850439989,1.571,0.039,1.646441091,0.040872821,CLAS omega
2.075,0.25,-0.755022059,1.376,0.038,1.442076983,0.0398248,CLAS omega
2.075,0.35,-0.65960413,1.472,0.042,1.542687005,0.044016885,CLAS omega
2.075,0.45,-0.5641862,1.821,0.049,1.908446356,0.051353032,CLAS omega
2.075,0.55,-0.468768271,2.55,0.053,2.672453712,0.055545116,CLAS omega
2.075,0.65,-0.373350341,4.259,0.071,4.463521709,0.074409496,CLAS omega
2.075,0.75,-0.277932412,6.944,0.088,7.277458264,0.092225854,CLAS omega
2.075,0.85,-0.182514482,11.98,0.471,12.55529234,0.493617921,CLAS omega
2.085,-0.84,-1.83388025,1.46,0.054,1.496019576,0.055332231,CLAS omega
2.085,-0.75,-1.746047175,1.372,0.035,1.405848533,0.035863483,CLAS omega
2.085,-0.65,-1.648454869,1.499,0.035,1.535981742,0.035863483,CLAS omega
2.085,-0.55,-1.550862563,1.52,0.034,1.557499832,0.034838812,CLAS omega
2.085,-0.45,-1.453270257,1.547,0.032,1.585165948,0.03278947,CLAS omega
2.085,-0.35,-1.355677951,1.699,0.033,1.740915931,0.033814141,CLAS omega
2.085,-0.25,-1.258085646,1.74,0.033,1.78292744,0.033814141,CLAS omega
2.085,-0.15,-1.16049334,1.932,0.037,1.97966426,0.037912825,CLAS omega
2.085,-0.05,-1.062901034,1.901,0.037,1.947899461,0.037912825,CLAS omega
2.085,0.05,-0.965308728,1.834,0.04,1.879246508,0.040986838,CLAS omega
2.085,0.15,-0.867716422,1.613,0.039,1.65279423,0.039962167,CLAS omega
2.085,0.25,-0.770124116,1.465,0.04,1.50114293,0.040986838,CLAS omega
2.085,0.35,-0.672531811,1.495,0.042,1.531883059,0.04303618,CLAS omega
2.085,0.45,-0.574939505,1.87,0.048,1.916134662,0.049184205,CLAS omega
2.085,0.55,-0.477347199,2.7,0.058,2.766611544,0.059430915,CLAS omega
2.085,0.65,-0.379754893,4.612,0.075,4.725782386,0.076850321,CLAS omega
2.085,0.75,-0.282162587,7.473,0.089,7.657365952,0.091195714,CLAS omega
2.085,0.85,-0.184570281,13.07,0.425,13.39244922,0.43548515,CLAS omega
2.095,-0.84,-1.872829789,1.326,0.048,1.329032778,0.048109784,CLAS omega
2.095,-0.75,-1.783035164,1.417,0.035,1.42024091,0.035080051,CLAS omega
2.095,-0.65,-1.683263358,1.357,0.032,1.36010368,0.032073189,CLAS omega
2.095,-0.55,-1.583491553,1.4,0.033,1.403202028,0.033075476,CLAS omega
2.095,-0.45,-1.483719747,1.402,0.029,1.405206602,0.029066328,CLAS omega
2.095,-0.35,-1.383947941,1.608,0.031,1.611677758,0.031070902,CLAS omega
2.095,-0.25,-1.284176136,1.775,0.033,1.779059714,0.033075476,CLAS omega
2.095,-0.15,-1.18440433,1.894,0.035,1.898331886,0.035080051,CLAS omega
2.095,-0.05,-1.084632524,1.851,0.036,1.855233538,0.036082338,CLAS omega
2.095,0.05,-0.984860719,1.812,0.038,1.816144339,0.038086912,CLAS omega
2.095,0.15,-0.885088913,1.591,0.038,1.594638876,0.038086912,CLAS omega
2.095,0.25,-0.785317108,1.453,0.039,1.456323248,0.039089199,CLAS omega
2.095,0.35,-0.685545302,1.48,0.042,1.483385001,0.042096061,CLAS omega
2.095,0.45,-0.585773496,1.757,0.047,1.761018545,0.047107497,CLAS omega
2.095,0.55,-0.486001691,2.809,0.057,2.81542464,0.057130368,CLAS omega
2.095,0.65,-0.386229885,4.495,0.071,4.505280797,0.071162389,CLAS omega
2.095,0.75,-0.286458079,7.547,0.083,7.564261218,0.083189835,CLAS omega
2.095,0.85,-0.186686274,13.27,0.331,13.30035065,0.331757051,CLAS omega
2.105,-0.84,-1.91192859,1.209,0.044,1.185797118,0.043155561,CLAS omega
2.105,-0.75,-1.82016753,1.333,0.033,1.307417336,0.032366671,CLAS omega
2.105,-0.65,-1.718210798,1.321,0.031,1.295647637,0.030405054,CLAS omega
2.105,-0.55,-1.616254065,1.349,0.031,1.323110267,0.030405054,CLAS omega
2.105,-0.45,-1.514297332,1.35,0.029,1.324091075,0.028443438,CLAS omega
2.105,-0.35,-1.412340599,1.456,0.028,1.428056745,0.02746263,CLAS omega
2.105,-0.25,-1.310383866,1.703,0.032,1.670316371,0.031385863,CLAS omega
2.105,-0.15,-1.208427133,1.699,0.032,1.666393138,0.031385863,CLAS omega
2.105,-0.05,-1.106470401,1.834,0.035,1.798802246,0.034328287,CLAS omega
2.105,0.05,-1.004513668,1.757,0.037,1.723280014,0.036289904,CLAS omega
2.105,0.15,-0.902556935,1.464,0.034,1.43590321,0.033347479,CLAS omega
2.105,0.25,-0.800600202,1.292,0.035,1.267204199,0.034328287,CLAS omega
2.105,0.35,-0.698643469,1.361,0.038,1.334879965,0.037270712,CLAS omega
2.105,0.45,-0.596686736,1.81,0.045,1.775262849,0.044136369,CLAS omega
2.105,0.55,-0.494730004,2.498,0.049,2.450058893,0.048059602,CLAS omega
2.105,0.65,-0.392773271,4.33,0.066,4.246899523,0.064733341,CLAS omega
2.105,0.75,-0.290816538,7.059,0.076,6.923525111,0.074541423,CLAS omega
2.105,0.85,-0.188859805,14.91,0.369,14.62385032,0.361918227,CLAS omega
2.115,-0.84,-1.951178937,1.365,0.05,1.310642825,0.048008895,CLAS omega
2.115,-0.75,-1.857446306,1.258,0.031,1.20790379,0.029765515,CLAS omega
2.115,-0.65,-1.753298938,1.267,0.029,1.216545391,0.027845159,CLAS omega
2.115,-0.55,-1.649151571,1.286,0.03,1.234788771,0.028805337,CLAS omega
2.115,-0.45,-1.545004203,1.349,0.028,1.295279979,0.026884981,CLAS omega
2.115,-0.35,-1.440856836,1.498,0.03,1.438346485,0.028805337,CLAS omega
2.115,-0.25,-1.336709468,1.62,0.03,1.555488188,0.028805337,CLAS omega
2.115,-0.15,-1.232562101,1.725,0.032,1.656306867,0.030725693,CLAS omega
2.115,-0.05,-1.128414733,1.782,0.034,1.711037007,0.032646048,CLAS omega
2.115,0.05,-1.024267365,1.692,0.035,1.624620996,0.033606226,CLAS omega
2.115,0.15,-0.920119998,1.423,0.033,1.366333143,0.03168587,CLAS omega
2.115,0.25,-0.81597263,1.298,0.034,1.246310906,0.032646048,CLAS omega
2.115,0.35,-0.711825263,1.392,0.038,1.336567628,0.03648676,CLAS omega
2.115,0.45,-0.607677895,1.673,0.042,1.606377616,0.040327472,CLAS omega
2.115,0.55,-0.503530528,2.493,0.05,2.393723489,0.048008895,CLAS omega
2.115,0.65,-0.39938316,4.223,0.063,4.054831245,0.060491207,CLAS omega
2.115,0.75,-0.295235793,7.132,0.074,6.847988738,0.071053164,CLAS omega
2.115,0.85,-0.191088425,12.17,0.175,11.68536497,0.168031131,CLAS omega
2.125,-0.84,-1.990582933,1.232,0.043,1.158504821,0.040434827,CLAS omega
2.125,-0.75,-1.894873362,1.38,0.033,1.297675855,0.031031379,CLAS omega
2.125,-0.65,-1.788529393,1.239,0.028,1.165087235,0.026329655,CLAS omega
2.125,-0.55,-1.682185425,1.267,0.029,1.19141689,0.02727,CLAS omega
2.125,-0.45,-1.575841457,1.329,0.028,1.249718269,0.026329655,CLAS omega
2.125,-0.35,-1.469497488,1.439,0.028,1.3531562,0.026329655,CLAS omega
2.125,-0.25,-1.36315352,1.535,0.029,1.443429302,0.02727,CLAS omega
2.125,-0.15,-1.256809552,1.67,0.031,1.570375854,0.029150689,CLAS omega
2.125,-0.05,-1.150465584,1.723,0.032,1.620214129,0.030091034,CLAS omega
2.125,0.05,-1.044121615,1.73,0.036,1.626796543,0.033852414,CLAS omega
2.125,0.15,-0.937777647,1.444,0.033,1.357857924,0.031031379,CLAS omega
2.125,0.25,-0.831433679,1.246,0.032,1.171669649,0.030091034,CLAS omega
2.125,0.35,-0.72508971,1.303,0.036,1.225269304,0.033852414,CLAS omega
